"method","estimator_target_granularity","supervision_source","positive_negative_behavior","abstention_behavior","calibration_guarantee_assumptions","environment_reexecution_cost","auxiliary_model_cost","trainable_token_treatment","public_code_data_status","benchmark_model_seed_evidence","residual_difference_from_care","direct_substitute"
"MT-GRPO","turn return and turn-level advantage","hand-designed verifiable rewards or LLM judge","signed turn advantages from discounted returns","none","no finite-sample sign-risk guarantee","none beyond ordinary rollout","optional LLM judge","turn advantage broadcast within each turn","paper-specific code not located","two-turn search/tool case study; Qwen2.5-7B; seed evidence not located","no abstention, risk control, or fixed token-budget routing","no"
"TRACE","tool-boundary TD change in gold-answer readiness","gold answer, frozen reference model, terminal verifier","signed dense turn credit mixed with outcome advantage","none","no sign-error guarantee; relies on answer log-probability proxy","none; scores saved prefixes","one frozen-reference batched forward pass","same mixed advantage for assistant tokens in a turn; final answer separately scaled","paper-linked code not located","search agents; Qwen3 backbones; controlled ablations are single runs","candidate base scorer but lacks calibrated wrong-sign control, abstention, and token-budget matching","no"
"SIOP","turn potential change toward self-induced semantic outcome mode","multiple on-policy rollouts, NLI clustering, evidence support","signed potential differences plus terminal mass","diffuse target mass attenuates but does not hard-abstain","heuristic reliability weighting; no finite-sample risk guarantee","multiple ordinary rollouts per prompt","NLI model and prefix answer scoring; reported about 94 GPU-hours per 4B run","turn-specific advantages assigned to trainable tokens within each turn","paper declares repository; declared URL unavailable during audit","seven search-QA benchmarks; Qwen3-4B/8B; training seed count not found","verifier-free scorer but no wrong-sign certificate, explicit abstention, or matched supervision budget","no"
"VPR","oracle-valid action at every turn","symbolic, search, constraint, or posterior oracle","positive for valid/optimal action and relative negative after group normalization","none","bias bound scales with verifier disagreement; not a finite-sample calibration procedure","oracle-specific computation such as MCTS or constraint solving","no learned critic; task oracle required","turn-level normalized reward used for all policy tokens in the turn","public Apache-2.0 repository with data and scripts","three controlled games plus transfer; Qwen3; 8 H100; multiple evaluation runs","strong exact-oracle upper control, but assumes dense verifier and has no abstention or budgeted noisy-credit routing","no"
"ECHO","provenance-selected source turns and final segment","learned memory reconstruction trace plus terminal outcome","routes only positive group advantage through a hard provenance mask; negative credit is discarded","hard masking outside selected final trace, but not uncertainty abstention","no calibration or sign-risk guarantee","none beyond the rollout and context reconstruction","same policy generates memory findings and selections","token-level mask over selected source turns, memory tokens, and final segment","public Apache-2.0 repository","BrowseComp-Plus; Qwen3 dense/MoE backbones; seed evidence not located","selection is provenance/context dependent and positive-only, not signed risk-controlled turn routing","no"
"TACO","token-level positive-credit contamination risk","current-policy sampled-token probability and local entropy","softly suppresses positive advantage for tail tokens; negative advantage unchanged","no hard abstention because minimum positive weight remains above zero for lambda below one","no finite-sample or distribution-free guarantee","none","entropy and log-probability from current policy","soft per-token reweighting only for positive-advantage completions","public repository; license not visible on landing page","reasoning/math experiments and synthetic MDP; tool-use listed as future work","closest calibration neighbor, but token-tail plausibility is not turn-credit sign correctness and there is no hard abstention or token budget","no"
"Iterative Reward Calibration","empirical discriminativeness of hand-designed reward tiers","rollout success correlations and task-specific gold action logic","sets tiers to positive, zero, or negative and dampens outcome advantage","zero-reward dead turns act as heuristic masking","empirical calibration only; no finite-sample risk guarantee","ordinary rollouts and user simulator","task-specific deep argument comparison and simulator","dead-turn gradient focusing but no frozen supervision-token budget","paper declares release; exact repository not located","Tau-Bench airline; Qwen3.5-4B and Qwen3-30B-A3B; eight recipe versions; seed evidence not located","task-specific reward redesign without uncertainty abstention or statistical wrong-sign control","no"
"TRIAGE","semantic role of each environment-facing segment","structured LLM judge plus terminal verifier","bounded role constants reinforce progress/exploration, damp no-progress, penalize regression","no uncertainty-based abstention","L2 projection rationale assumes judge alignment; no finite-sample judge-error control","none beyond ordinary rollout","structured LLM judge on local segment context","role reward applied at segment/token level; no fixed token budget","paper-linked code not located","ALFWorld, Search-QA, WebShop; two policy models; manual judge audit; exact training seed evidence unclear","strongest semantic scorer; CARe must add auditable sign-risk control and abstention rather than another role taxonomy","no"
"HCAPO","step-level hindsight Q ratio","same LLM as post-hoc hindsight critic and terminal outcome","signed micro advantage plus GRPO macro advantage; negative hindsight is masked on successful trials","do-no-harm mask is outcome-conditioned, not uncertainty abstention","no finite-sample sign-risk guarantee; hindsight reasoning may be out of distribution","no environment replay","extra hindsight scoring forward pass, reported 8.3 percent of training time","multi-scale advantage broadcast to action tokens","paper-linked code not located","ALFWorld, WebShop, search QA; Qwen2.5-7B; seed count not located","amortized hindsight scorer but no calibrated error control, general abstention, or token budget","no"
"C3","decision-level causal effect by checkpoint restoration and alternative continuation","terminal verifier under restored text-history checkpoint","signed leave-one-out counterfactual advantage","none","Monte Carlo unbiasedness under frozen behavior policy and deterministic observable history; no selective risk guarantee","high: verifier budget B=8 continuation rollouts per decision in reported protocol","no learned critic","decision credit applied during cooperative-agent training; no explicit supervision-token budget","public repository","six cooperative multi-agent benchmarks; Qwen3 models; five seeds; two or three decision points","exact-oracle audit/control for short cooperative protocols, not low-cost single-agent selective routing","no"
"CCPO","role/agent marginal contribution by leave-one-role-out outcome","terminal verifier and counterfactual removal","positive, redundant, and harmful role contributions separated","none","unbiased baseline under stated conditional-independence assumptions; no finite-sample selective risk guarantee","extra verifier calls for role-removal outcomes","no learned critic for CCPO","role-level reward redistribution, not turn-token budget","public repository","two-agent math topology; single-run exact match","multi-agent role attribution with substantial verifier cost and no turn-level abstention or risk control","no"
