candidate_id,title,stable_url,artifact_type,reward_quality_or_hacking,credit_or_advantage,typed_trace_contract,mask_identity_check,cross_framework_executable,heldout_framework_eval,direct_substitute,exclusion_reason
RHB,"Reward Hacking Benchmark: Measuring Exploits in LLM Agents with Tool Use",https://arxiv.org/abs/2605.02964,paper,yes,no,no,no,no,no,no,"Measures agent exploitation of task rewards, not implementation-contract corruption"
IRC,"Multi-Turn Reinforcement Learning for Tool-Calling Agents with Iterative Reward Calibration",https://arxiv.org/abs/2604.02869,paper+code,yes,yes,no,no,no,no,no,"Calibrates turn rewards and advantages within a training recipe; no cross-framework contract auditor"
CA_SURVEY,"From Reasoning to Agentic: Credit Assignment in Reinforcement Learning for Large Language Models",https://arxiv.org/abs/2604.09459,survey+inventory,no,yes,no,no,no,no,no,"Taxonomy and protocol for credit assignment, not executable reward-interface validation"
CM2,"Reinforcement Learning with Checklist Rewards for Multi-Turn and Multi-Step Agentic Tool Use",https://arxiv.org/abs/2602.12268,paper+code,yes,partial,no,no,no,no,no,"Designs checklist rewards; does not audit serialization or treatment identity"
COLLAPSE,"Understanding Reasoning Collapse in Multi-Turn Agent Reinforcement Learning",https://openreview.net/forum?id=9ElTlEDWpx,paper,partial,yes,no,no,no,no,no,"Diagnoses policy collapse and reward variance rather than trace/reward API contracts"
GUIDE,"A Practitioner's Guide to Multi-turn Agentic Reinforcement Learning",https://openreview.net/forum?id=K6T0o875zF,paper,yes,yes,no,no,no,no,no,"Empirical training-design guide without executable cross-framework contract tests"
LMRLGYM,"LMRL Gym: Benchmarks for Multi-Turn Reinforcement Learning with Language Models",https://openreview.net/forum?id=8cNMMrWRbZ,benchmark,partial,partial,no,no,no,no,no,"Task benchmark and RL toolkit, not framework integration auditor"
VERLTOOL,"VerlTool: Towards Holistic Agentic Reinforcement Learning with Tool Use",https://openreview.net/forum?id=pcmPnp84vz,framework_paper,partial,partial,no,no,no,no,no,"Agentic-RL framework, not an independent cross-framework auditor"
VERL_DOC,"veRL Multi-turn Rollout Support",https://verl.readthedocs.io/en/latest/sglang_multiturn/multiturn.html,official_docs,partial,no,partial,no,no,no,no,"Documents one framework's normalized tool return contract"
VERL_REWARD,"veRL Reward Loop",https://verl.readthedocs.io/en/latest/advance/reward_loop.html,official_docs,yes,no,partial,no,no,no,no,"Documents reward execution but no registered semantic fault suite"
OPENRLHF,"OpenRLHF agent-based execution",https://github.com/OpenRLHF/OpenRLHF,official_repo,partial,yes,partial,no,no,no,no,"Documents one framework's token trajectory and reward interfaces"
AREAL,"AReaL documentation",https://inclusionai.github.io/AReaL/,official_docs,partial,partial,partial,no,no,no,no,"Agentic-RL system documentation; no independent held-out contract evaluation"
LEARNOPT,"Leveraging LLMs for reward function design in reinforcement learning control tasks",https://arxiv.org/abs/2511.19355,paper,yes,no,no,no,no,no,no,"Generates and selects rewards for control tasks; different failure target and evaluation unit"
SPECBENCH,"SpecBench: Measuring Reward Hacking in Long-Horizon Coding Agents",https://arxiv.org/abs/2605.21384,benchmark,yes,no,no,no,no,no,no,"Measures specification gaming by agents, not silent training-pipeline corruption"
